N,P,K,temperature,humidity,ph,rainfall,label
81.84,42.23,43.74,28.03,76.98,6.24,77.41,Watermelon
29.11,72.4,25.55,16.88,49.27,6.35,63.35,Lentil
24.99,13.37,15.92,25.47,87.91,6.54,162.16,Coconut
74.84,56.98,57.49,16.71,52.72,6.63,65.06,Onion
113.15,94.69,43.78,29.91,80.81,5.95,129.63,Banana
95.16,54.51,46.27,31.87,83.36,6.63,166.6,Jute
80.55,44.68,49.57,24.07,70.66,6.85,218.4,Jute
64.66,52.06,46.51,34.84,80.02,6.04,132.66,Papaya
90.61,52.03,45.93,25.0,87.59,5.65,227.08,Rice
84.6,49.29,41.87,12.21,55.69,6.66,80.86,Wheat
20.39,11.87,26.62,30.37,77.01,6.07,203.36,Coconut
23.41,132.05,230.97,5.46,73.46,6.72,193.23,Apple
23.94,12.02,11.41,30.41,74.99,6.41,218.78,Coconut
20.83,19.29,21.59,29.67,88.23,6.02,212.15,Coconut
58.91,44.97,54.11,27.42,61.06,6.8,144.9,Mango
87.92,86.96,49.28,31.8,87.17,6.02,111.41,Banana
34.88,60.67,31.4,22.62,57.54,6.34,72.85,Lentil
73.85,44.06,48.54,16.57,59.1,6.22,72.49,Wheat
41.05,75.66,96.91,23.59,50.17,6.35,73.81,Chickpea
118.53,70.36,59.4,25.3,92.82,6.29,199.3,Banana
25.42,129.05,212.55,8.62,64.3,6.14,190.78,Apple
99.46,49.56,48.3,24.09,83.93,6.38,244.26,Jute
126.43,46.69,70.39,21.98,86.1,6.28,108.5,Sugarcane
76.03,33.72,35.1,14.57,77.2,5.13,164.83,Tea
60.87,46.69,40.52,25.24,84.95,6.27,151.81,Papaya
36.16,140.36,204.56,21.44,76.69,6.37,82.32,Grapes
78.0,43.91,55.29,25.24,71.26,6.11,135.25,Papaya
43.53,51.53,45.48,28.43,66.29,7.16,86.51,Mango
131.18,45.05,56.59,27.34,78.37,6.61,99.72,Cotton
70.54,41.88,49.72,24.21,50.8,6.29,60.38,Onion
48.22,72.58,83.99,27.11,61.04,7.29,87.5,Soybean
98.92,58.19,54.44,22.8,81.75,6.13,107.43,Tomato
49.33,61.05,70.75,27.17,70.76,6.76,74.59,Soybean
23.46,19.76,22.82,30.76,72.65,6.79,242.28,Coconut
144.66,46.85,79.96,20.04,70.55,7.24,119.95,Sugarcane
82.05,59.09,42.85,24.96,80.68,5.66,226.33,Rice
81.63,46.55,45.8,16.13,65.18,6.42,67.65,Wheat
48.61,65.49,87.76,20.41,78.27,7.25,77.85,Soybean
102.07,49.96,41.7,29.76,80.01,6.89,241.99,Jute
88.67,51.7,45.62,26.19,67.6,6.45,92.63,Tomato
28.24,19.55,26.42,25.01,82.73,5.58,175.76,Coconut
94.87,42.18,42.16,21.85,62.47,6.62,68.62,Tomato
97.7,50.97,66.41,19.13,71.76,5.85,135.98,Potato
117.53,56.37,59.67,21.82,89.7,6.15,202.13,Rice
112.68,89.61,56.79,31.61,80.46,5.75,148.4,Banana
40.22,62.74,98.0,24.12,51.95,6.9,66.6,Chickpea
75.39,45.7,35.47,19.09,66.12,5.99,82.12,Maize
38.16,143.9,200.25,19.64,60.49,6.86,75.92,Grapes
26.93,11.34,15.99,27.51,86.09,5.92,171.07,Coconut
51.92,68.68,83.29,18.82,50.93,7.35,53.76,Chickpea
26.76,127.54,215.67,16.63,74.69,5.81,52.93,Grapes
118.38,49.98,41.44,27.16,65.1,7.15,89.12,Cotton
114.74,59.2,56.41,28.69,55.17,6.41,77.14,Cotton
97.41,58.41,46.9,20.38,82.04,6.13,182.95,Rice
115.76,58.93,57.85,22.94,87.8,6.21,224.63,Rice
111.85,45.44,53.85,26.11,78.78,6.64,52.98,Watermelon
30.14,63.76,21.54,21.96,47.66,6.82,66.38,Lentil
86.56,45.03,41.74,17.7,66.52,6.15,61.99,Wheat
75.86,53.45,40.13,12.68,54.16,6.04,59.07,Wheat
92.7,46.65,47.61,19.1,87.21,4.52,166.09,Tea
71.57,38.38,35.2,20.96,89.63,4.88,248.13,Tea
125.03,48.18,45.08,28.74,71.01,6.82,96.57,Cotton
25.1,15.29,27.52,28.24,75.59,5.85,237.43,Coconut
30.0,127.07,207.91,12.19,77.75,6.35,168.15,Apple
77.57,49.1,41.51,21.49,67.87,6.19,87.28,Maize
114.16,55.43,41.29,24.35,82.35,6.34,293.53,Rice
26.39,76.21,33.79,22.25,53.96,6.31,43.99,Lentil
54.48,52.97,43.45,33.72,78.39,6.16,196.23,Papaya
22.66,14.62,15.49,29.24,79.97,6.35,172.7,Orange
54.04,70.26,87.44,22.89,61.72,7.4,82.69,Soybean
55.89,46.96,50.41,29.24,60.46,6.93,138.9,Mango
53.5,53.86,54.66,31.96,57.19,6.58,112.67,Mango
74.83,41.26,48.88,10.06,74.76,5.91,175.66,Tea
22.85,13.07,26.06,28.77,76.23,6.42,221.62,Coconut
95.0,32.14,39.88,22.87,77.75,6.01,238.63,Coffee
114.18,39.85,34.94,22.84,68.91,6.51,185.92,Coffee
77.5,56.02,49.02,32.19,77.59,6.49,119.23,Papaya
41.36,74.47,86.12,22.89,73.28,6.64,113.35,Soybean
46.69,73.91,83.97,27.04,69.85,7.37,89.35,Soybean
113.15,57.53,56.86,29.57,73.7,6.99,111.4,Cotton
73.72,48.4,43.88,21.74,69.61,6.74,106.45,Tomato
39.78,136.88,215.98,23.36,74.6,6.62,59.81,Grapes
107.88,46.08,53.59,26.57,79.53,6.23,214.05,Jute
59.49,41.68,43.63,27.81,66.34,5.79,84.82,Mango
95.44,58.94,57.7,24.65,66.94,6.28,117.8,Tomato
44.75,70.25,82.08,20.69,49.75,6.98,78.02,Chickpea
102.81,71.61,42.81,29.36,79.16,6.26,154.49,Banana
95.06,40.29,47.58,21.04,60.48,6.12,84.82,Tomato
90.78,44.39,42.62,30.33,89.11,6.41,245.24,Jute
28.63,144.39,205.61,20.87,64.02,6.69,89.19,Grapes
99.58,83.68,44.11,30.29,84.03,6.94,126.08,Banana
65.42,45.38,43.97,17.47,56.13,6.56,79.4,Onion
76.54,40.39,32.52,23.3,65.5,5.8,82.59,Maize
103.86,37.32,46.14,19.71,62.33,6.13,203.69,Coffee
82.57,82.07,40.47,27.31,85.74,6.87,184.66,Banana
39.58,137.07,214.31,14.72,62.46,6.83,150.31,Apple
25.26,17.32,10.82,15.91,64.94,6.24,187.18,Orange
86.99,42.99,49.38,25.48,60.39,6.27,60.15,Tomato
64.0,44.83,41.36,26.54,56.67,6.51,132.22,Mango
100.84,41.64,59.36,23.66,73.08,6.94,82.92,Cotton
28.3,75.36,20.81,16.23,44.06,6.4,73.83,Lentil
75.45,52.48,49.8,15.95,50.19,6.21,66.1,Wheat
90.0,51.31,63.81,17.86,68.09,5.86,95.18,Potato
97.98,44.83,40.03,28.48,71.81,6.97,54.46,Watermelon
75.66,54.07,49.48,25.98,74.75,6.47,117.32,Papaya
84.9,42.52,41.9,15.69,55.73,6.37,82.26,Wheat
62.3,35.06,43.41,23.78,63.22,6.23,80.77,Maize
81.47,43.23,48.62,19.54,60.37,6.53,61.7,Wheat
96.36,90.98,52.77,28.73,90.37,6.64,161.79,Banana
115.77,47.86,64.74,20.97,73.58,7.2,167.75,Sugarcane
20.13,16.64,13.56,31.73,72.97,6.12,158.53,Coconut
91.95,58.81,45.19,23.01,88.73,6.76,177.92,Rice
35.25,140.96,217.42,23.18,62.4,6.32,50.29,Grapes
79.86,43.37,44.61,22.19,56.2,6.34,107.88,Maize
87.78,47.81,58.93,25.97,73.37,6.74,57.93,Watermelon
27.44,140.53,213.63,18.96,77.17,6.14,175.09,Apple
86.7,46.92,43.09,15.25,62.92,6.64,67.03,Onion
107.82,41.36,41.7,24.27,72.09,6.21,247.01,Jute
96.11,45.52,31.68,23.35,79.44,5.62,171.01,Tea
56.99,49.84,46.2,26.82,75.12,6.32,125.81,Papaya
138.3,40.18,59.96,27.09,74.85,6.44,60.86,Cotton
67.0,47.09,47.62,29.12,81.83,6.45,185.67,Papaya
85.62,54.84,50.19,21.8,69.95,6.03,80.13,Tomato
100.81,54.63,54.43,25.88,72.01,6.15,220.2,Jute
82.85,44.81,45.81,28.98,73.16,6.86,194.75,Jute
113.38,47.22,52.24,21.07,80.66,5.82,169.18,Rice
117.38,53.3,75.91,29.27,74.69,6.6,115.24,Sugarcane
25.12,19.19,28.08,26.1,77.33,6.43,165.94,Coconut
73.16,53.14,56.44,21.42,79.39,6.96,72.23,Tomato
87.03,47.82,42.58,26.44,76.43,6.16,170.52,Jute
129.38,47.07,69.65,25.97,79.45,7.05,143.37,Sugarcane
47.95,72.5,85.6,27.84,70.39,7.29,83.48,Soybean
20.4,135.48,220.2,12.88,79.48,6.87,116.17,Apple
92.82,40.32,51.16,21.42,72.66,6.56,78.8,Tomato
24.32,71.82,38.26,22.98,58.43,6.98,40.43,Lentil
77.24,39.92,46.41,19.66,64.29,5.52,84.08,Maize
110.21,94.11,51.06,28.42,77.28,5.63,133.96,Banana
67.74,50.34,42.34,28.23,53.17,6.68,108.6,Mango
55.9,65.42,88.78,18.55,40.51,7.44,73.44,Chickpea
110.05,53.57,43.97,23.46,87.92,6.21,230.49,Rice
27.86,19.0,14.37,29.38,77.84,6.98,197.88,Coconut
29.56,133.6,200.44,24.27,72.07,5.8,95.98,Grapes
81.84,50.6,43.23,23.15,80.14,6.76,69.23,Tomato
102.28,46.38,45.19,26.97,89.75,6.04,236.7,Jute
67.03,42.21,41.04,23.69,60.14,6.92,68.49,Maize
36.56,132.66,223.56,22.21,64.82,5.75,98.6,Grapes
57.55,74.77,80.27,19.74,44.29,6.41,49.9,Chickpea
27.16,144.79,227.37,24.49,62.85,6.07,77.74,Grapes
87.52,41.96,32.07,22.12,62.52,6.37,81.93,Maize
84.15,66.26,50.78,18.29,65.45,6.37,113.95,Potato
86.31,50.55,46.68,17.08,66.01,6.62,73.4,Onion
71.17,46.37,52.42,16.64,66.92,6.81,73.82,Onion
82.55,55.02,42.03,20.5,66.91,6.43,118.82,Tomato
32.55,136.69,236.05,15.45,65.62,6.93,94.51,Grapes
46.59,67.63,92.36,23.03,47.84,7.36,62.4,Chickpea
76.89,56.13,40.07,28.2,72.65,6.23,119.96,Papaya
110.74,49.39,41.53,27.35,61.81,6.41,60.2,Cotton
86.4,53.02,50.66,18.24,56.66,6.67,99.71,Onion
26.19,130.94,212.23,18.27,74.48,6.5,179.87,Apple
28.24,61.47,28.1,15.4,56.7,6.21,53.13,Lentil
106.11,54.2,53.55,21.22,62.35,6.5,100.16,Cotton
68.11,56.46,50.37,19.62,56.29,6.58,86.49,Onion
71.03,43.17,40.74,14.31,62.55,6.85,80.61,Wheat
83.0,40.43,44.68,18.94,70.79,6.3,74.61,Maize
104.18,51.85,44.57,24.65,78.06,6.17,219.5,Jute
89.7,73.45,52.21,27.02,86.62,5.73,148.11,Banana
56.47,45.75,46.14,26.82,65.53,6.17,128.62,Mango
31.14,129.63,220.1,22.31,79.16,5.83,94.31,Grapes
127.07,41.72,61.14,21.05,81.71,6.82,123.37,Sugarcane
57.79,75.43,88.23,19.29,58.83,6.8,74.09,Chickpea
48.59,69.41,73.15,20.31,78.94,6.36,74.4,Soybean
37.95,138.12,235.27,19.85,70.84,6.88,95.0,Grapes
51.17,53.23,42.82,28.57,54.63,6.06,87.5,Mango
71.74,48.4,59.38,21.95,64.38,6.56,98.73,Onion
105.85,54.19,45.6,26.17,82.88,6.41,152.54,Jute
84.71,42.22,43.48,21.91,66.17,5.59,94.81,Maize
22.0,11.67,12.09,29.46,84.13,5.55,243.62,Coconut
35.44,125.54,202.61,19.64,78.18,6.31,74.89,Grapes
26.19,138.27,226.63,17.86,69.2,5.79,60.52,Grapes
124.63,40.23,69.37,20.56,72.38,6.18,164.92,Sugarcane
106.66,41.65,39.76,16.68,77.89,6.25,159.13,Coffee
83.05,39.33,38.18,22.72,57.7,5.54,67.64,Maize
26.42,65.05,30.68,23.24,42.06,6.94,71.8,Lentil
80.45,53.35,43.67,29.84,86.22,6.86,249.16,Jute
35.53,71.92,32.89,22.58,42.36,6.83,68.22,Lentil
67.96,58.08,46.41,20.52,51.01,6.04,86.02,Onion
34.1,141.34,221.86,19.51,61.03,6.26,171.85,Apple
65.35,47.9,41.03,27.22,66.84,6.4,129.92,Mango
109.46,40.95,53.55,30.51,76.28,6.97,178.79,Jute
58.18,48.27,42.44,26.81,80.43,6.18,152.52,Papaya
31.2,130.1,210.5,15.39,66.11,6.62,52.38,Grapes
58.15,51.2,49.73,28.04,54.41,7.13,113.34,Mango
83.43,69.39,50.77,18.77,70.5,5.87,84.61,Potato
112.98,47.33,47.92,27.26,61.66,6.67,74.25,Cotton
82.87,45.32,43.77,31.32,87.05,6.58,202.03,Jute
71.13,45.61,49.44,17.13,63.43,6.95,59.95,Wheat
132.87,42.45,56.97,24.73,57.61,7.3,85.92,Cotton
59.41,49.88,52.41,28.35,68.49,6.91,112.74,Mango
92.5,33.51,37.44,10.42,72.74,4.76,158.16,Tea
23.54,142.46,229.71,14.89,68.14,5.89,197.95,Apple
29.36,138.15,235.8,10.89,79.24,6.12,160.11,Apple
60.57,56.54,50.49,22.75,54.69,6.35,51.51,Onion
84.03,44.34,49.94,28.9,80.62,6.68,213.74,Jute
102.68,54.77,57.57,27.23,66.54,6.67,72.31,Watermelon
95.79,54.2,49.64,22.68,84.38,6.97,72.92,Tomato
55.7,45.74,55.86,28.62,65.86,7.1,101.68,Mango
43.92,69.71,95.7,21.4,46.71,6.12,62.01,Chickpea
36.32,132.57,203.54,18.42,79.63,6.44,70.81,Grapes
28.9,18.59,11.53,25.74,79.9,6.41,177.49,Coconut
99.53,52.37,46.27,24.58,75.47,6.98,209.63,Jute
135.45,42.14,71.35,22.57,89.26,6.73,180.6,Sugarcane
148.4,55.06,76.22,20.33,79.36,6.97,183.0,Sugarcane
83.42,42.01,40.31,23.79,79.94,5.99,277.71,Tea
20.38,16.43,12.63,15.79,64.62,7.2,185.15,Orange
102.2,43.76,57.19,21.8,82.26,6.22,224.83,Rice
52.52,69.78,78.04,29.94,77.61,6.94,94.16,Soybean
74.98,56.08,57.33,25.6,80.76,6.14,141.58,Papaya
59.14,73.94,91.92,21.22,47.29,6.53,65.45,Chickpea
50.2,62.56,84.78,23.97,65.26,6.56,89.87,Soybean
84.94,43.98,32.3,18.84,73.19,6.5,101.46,Maize
107.16,64.5,69.3,16.3,60.37,6.05,129.48,Potato
143.67,47.9,66.7,22.07,77.56,6.48,167.73,Sugarcane
84.26,51.41,45.61,18.17,59.88,6.78,71.38,Wheat
94.07,97.29,51.38,30.34,91.24,6.01,143.37,Banana
88.2,67.56,67.59,19.35,64.78,5.95,148.95,Potato
69.86,40.45,42.26,28.88,70.51,6.07,89.14,Mango
50.44,57.91,59.33,27.55,58.02,6.55,125.02,Mango
41.48,67.51,86.08,24.33,79.94,6.84,79.27,Soybean
45.13,62.02,82.11,26.8,72.86,7.29,89.19,Soybean
40.3,79.3,75.02,26.76,74.13,6.92,78.77,Soybean
127.73,56.52,72.63,27.84,81.97,6.62,195.79,Sugarcane
120.97,43.57,78.49,27.62,79.63,7.02,189.73,Sugarcane
23.07,62.66,24.09,22.67,45.91,6.02,77.77,Lentil
70.61,42.09,35.54,22.94,75.67,5.53,251.13,Tea
95.43,59.85,53.59,26.43,80.67,6.84,94.15,Tomato
77.75,44.87,49.16,24.84,65.15,6.71,61.27,Tomato
73.68,40.62,59.34,30.27,69.1,6.36,106.64,Papaya
100.39,75.26,56.12,31.22,92.03,6.15,175.87,Banana
40.4,73.42,89.39,20.43,57.25,7.28,40.89,Chickpea
29.07,15.87,10.85,21.75,75.13,7.19,149.46,Orange
87.06,42.55,56.47,19.1,69.82,6.47,77.69,Onion
118.46,47.14,66.88,25.21,78.81,7.32,150.55,Sugarcane
43.58,52.98,51.34,28.43,50.8,6.44,143.97,Mango
100.05,77.18,51.8,28.1,83.93,6.04,101.69,Banana
20.95,62.95,26.98,23.3,57.85,6.19,64.79,Lentil
38.37,79.02,31.54,18.57,55.75,6.25,62.56,Lentil
44.7,45.0,49.77,29.61,74.66,6.38,111.45,Mango
80.72,59.26,54.53,26.44,76.59,6.28,74.91,Watermelon
86.72,43.97,44.49,16.3,63.27,7.18,69.74,Wheat
96.32,37.85,46.33,16.59,77.54,5.19,195.21,Tea
46.74,52.26,52.57,29.87,65.52,7.44,85.78,Mango
119.87,85.07,51.91,25.47,90.0,5.81,189.81,Banana
28.63,11.79,26.0,28.87,77.93,5.7,236.53,Coconut
94.6,42.23,43.92,18.08,62.16,6.07,208.89,Coffee
91.73,65.46,60.36,16.74,67.43,5.5,100.99,Potato
49.48,68.94,80.14,23.74,47.2,6.81,67.09,Chickpea
76.14,53.26,46.83,31.84,60.59,6.74,148.7,Papaya
80.39,48.18,46.59,29.55,75.32,6.3,72.47,Watermelon
72.09,58.69,58.51,29.51,63.4,6.98,183.89,Papaya
59.93,71.11,85.38,29.45,76.99,6.37,87.03,Soybean
81.18,48.57,31.24,11.39,73.26,5.39,172.57,Tea
76.71,45.75,47.36,25.58,63.35,6.52,126.76,Papaya
85.26,49.54,45.41,18.26,75.13,6.4,77.92,Tomato
111.93,42.54,47.92,26.17,65.83,6.12,72.23,Watermelon
27.21,12.55,11.78,25.55,78.52,6.92,171.77,Coconut
29.33,11.19,28.67,29.79,80.63,5.55,197.56,Coconut
89.91,43.47,53.33,24.44,73.53,6.55,198.11,Jute
51.45,55.5,46.85,29.02,54.8,5.79,145.05,Mango
90.83,32.24,41.31,13.73,78.63,5.45,188.55,Tea
73.74,46.82,47.48,14.25,50.4,6.81,97.83,Wheat
83.58,40.55,40.79,30.67,72.36,6.05,193.79,Jute
76.46,41.04,40.39,26.97,57.7,6.51,79.8,Maize
96.21,68.52,57.06,17.29,79.63,5.7,84.57,Potato
98.7,40.84,40.36,27.6,76.65,6.44,176.27,Jute
34.59,144.34,208.97,21.63,74.84,6.77,71.13,Grapes
75.24,49.97,43.9,20.78,72.54,6.67,60.77,Maize
72.14,55.35,58.11,29.09,88.59,6.87,129.65,Papaya
117.46,46.17,57.39,25.35,82.48,5.55,165.28,Rice
85.25,40.65,58.42,24.32,87.97,6.22,167.6,Rice
89.02,58.29,44.17,23.99,61.97,6.6,69.84,Tomato
103.0,92.15,49.8,25.2,76.28,6.31,171.88,Banana
63.27,45.76,46.48,29.43,64.08,5.82,94.79,Mango
109.55,58.99,46.1,22.52,63.82,6.46,62.11,Cotton
40.81,72.25,96.12,21.06,51.09,7.2,64.42,Chickpea
83.96,30.27,31.63,13.88,70.56,5.45,213.96,Tea
22.04,16.27,13.59,29.93,69.6,6.73,156.59,Orange
23.51,12.41,10.62,17.69,62.49,7.37,114.03,Orange
28.54,134.38,237.14,21.41,66.23,6.29,53.3,Grapes
37.77,134.29,220.64,9.99,65.53,6.48,111.98,Apple
89.78,44.81,57.49,23.31,54.49,6.4,70.48,Onion
122.33,57.23,56.62,23.54,66.43,6.12,114.92,Cotton
115.12,40.16,40.19,25.15,64.65,6.03,101.22,Cotton
21.05,18.58,16.2,31.8,72.36,6.94,159.1,Coconut
94.95,37.76,31.91,23.23,61.82,6.65,191.32,Coffee
53.1,68.92,76.93,28.36,75.17,6.48,66.18,Soybean
74.97,48.97,41.67,22.85,64.09,5.81,60.19,Maize
27.71,13.27,12.42,17.54,75.5,6.19,145.38,Orange
99.6,47.49,47.41,25.32,83.68,6.99,105.2,Tomato
84.85,73.41,48.22,29.53,89.24,5.77,107.96,Banana
94.31,70.25,56.78,25.22,93.8,6.84,153.55,Banana
93.07,45.79,50.47,24.63,62.35,6.18,70.99,Watermelon
72.0,49.97,30.5,22.53,77.31,5.76,233.19,Tea
31.78,126.78,217.24,16.75,79.74,6.34,84.37,Grapes
30.3,128.31,239.11,6.62,78.64,6.87,152.54,Apple
46.45,57.78,59.87,24.69,71.56,6.28,111.93,Mango
60.63,40.05,32.89,20.1,73.11,5.56,70.99,Maize
41.62,73.14,83.08,20.95,66.38,7.49,100.71,Soybean
26.62,11.58,23.76,25.9,78.51,5.87,224.84,Coconut
80.88,53.15,45.44,13.91,67.02,6.84,60.34,Wheat
92.78,43.35,45.26,20.25,87.04,6.24,164.14,Rice
88.5,89.91,48.22,27.82,92.69,6.84,190.92,Banana
115.73,52.73,53.79,29.34,68.99,6.69,42.79,Watermelon
81.2,79.24,54.09,26.41,88.47,6.95,109.39,Banana
118.46,90.04,58.66,26.86,87.23,6.52,131.75,Banana
28.33,133.98,223.96,15.72,64.54,6.9,95.42,Grapes
47.96,71.6,88.96,20.69,70.15,6.49,90.5,Soybean
71.51,41.06,53.84,22.12,65.66,6.61,75.17,Tomato
110.52,43.37,52.63,20.6,89.47,5.94,183.97,Rice
44.79,77.19,98.49,23.78,46.68,6.41,61.97,Chickpea
59.78,49.51,52.06,34.86,88.13,6.86,188.91,Papaya
116.69,82.2,42.87,30.0,80.87,6.29,169.78,Banana
32.65,72.67,30.72,15.9,56.71,6.32,47.46,Lentil
20.85,138.48,221.49,11.66,72.69,6.74,142.77,Apple
60.48,51.51,48.58,26.21,69.21,5.95,125.39,Mango
88.16,43.27,49.93,29.07,81.87,6.02,222.88,Jute
110.94,42.62,59.4,27.63,64.72,6.07,46.79,Watermelon
